t,x,y,z,qx,qy,qz,qw,roll_rad,pitch_rad,yaw_rad
0.217615,0.005848,0.006729,0.007034,0.000186,-0.000380,0.002066,0.999998,0.000370,-0.000761,0.004131
0.223328,0.005849,0.006715,0.006994,0.000183,-0.000382,0.002067,0.999998,0.000363,-0.000765,0.004134
0.243185,0.005848,0.006705,0.006972,0.000181,-0.000389,0.002059,0.999998,0.000361,-0.000779,0.004118
0.243845,0.005846,0.006696,0.006954,0.000182,-0.000388,0.002051,0.999998,0.000362,-0.000778,0.004101
0.281215,0.005842,0.006681,0.006914,0.000179,-0.000390,0.002056,0.999998,0.000356,-0.000780,0.004111
0.281586,0.005836,0.006672,0.006895,0.000171,-0.000398,0.002059,0.999998,0.000339,-0.000797,0.004118
0.282123,0.005829,0.006662,0.006883,0.000163,-0.000402,0.002055,0.999998,0.000324,-0.000804,0.004109
0.291579,0.005824,0.006650,0.006870,0.000159,-0.000401,0.002052,0.999998,0.000317,-0.000803,0.004104
0.329543,0.005794,0.006647,0.006485,0.000149,-0.000408,0.002061,0.999998,0.000296,-0.000816,0.004122
0.330669,0.005791,0.006639,0.006465,0.000141,-0.000410,0.002068,0.999998,0.000281,-0.000821,0.004136
0.330685,0.005788,0.006633,0.006448,0.000139,-0.000413,0.002070,0.999998,0.000276,-0.000827,0.004139
0.330693,0.005785,0.006626,0.006425,0.000131,-0.000415,0.002069,0.999998,0.000260,-0.000831,0.004138
0.338022,0.005784,0.006620,0.006404,0.000126,-0.000412,0.002067,0.999998,0.000250,-0.000825,0.004133
0.365418,0.005783,0.006723,0.006374,0.000110,-0.000405,0.002059,0.999998,0.000219,-0.000811,0.004117
0.407207,0.005788,0.006726,0.006329,0.000104,-0.000404,0.002055,0.999998,0.000207,-0.000809,0.004110
0.407250,0.005792,0.006728,0.006306,0.000105,-0.000408,0.002054,0.999998,0.000208,-0.000816,0.004108
0.410509,0.005797,0.006727,0.006273,0.000111,-0.000412,0.002048,0.999998,0.000221,-0.000824,0.004095
0.411221,0.005799,0.006725,0.006261,0.000110,-0.000414,0.002045,0.999998,0.000218,-0.000828,0.004090
0.455662,0.005801,0.006725,0.006247,0.000115,-0.000416,0.002045,0.999998,0.000227,-0.000833,0.004090
0.455696,0.005802,0.006725,0.006236,0.000117,-0.000418,0.002046,0.999998,0.000233,-0.000836,0.004092
0.455827,0.005805,0.006722,0.006222,0.000115,-0.000421,0.002048,0.999998,0.000229,-0.000842,0.004096
0.463271,0.005810,0.006719,0.006209,0.000117,-0.000423,0.002048,0.999998,0.000233,-0.000846,0.004096
0.470573,0.005819,0.006709,0.006176,0.000124,-0.000437,0.002040,0.999998,0.000246,-0.000875,0.004080
0.514078,0.005820,0.006704,0.006163,0.000123,-0.000441,0.002038,0.999998,0.000243,-0.000882,0.004077
0.514222,0.005722,0.006698,0.006660,0.000152,-0.000428,0.002057,0.999998,0.000303,-0.000856,0.004115
0.514806,0.005718,0.006693,0.006664,0.000151,-0.000427,0.002052,0.999998,0.000299,-0.000854,0.004104
0.514830,0.005710,0.006685,0.006668,0.000148,-0.000433,0.002048,0.999998,0.000293,-0.000867,0.004096
0.578473,0.005674,0.006722,0.006927,0.000149,-0.000422,0.002031,0.999998,0.000296,-0.000845,0.004062
0.578482,0.005644,0.006714,0.006947,0.000153,-0.000427,0.002031,0.999998,0.000304,-0.000854,0.004062
0.620098,0.005616,0.006708,0.006966,0.000158,-0.000429,0.002036,0.999998,0.000314,-0.000859,0.004073
0.620123,0.005585,0.006702,0.006989,0.000160,-0.000430,0.002039,0.999998,0.000319,-0.000862,0.004077
0.620353,0.005560,0.006697,0.007007,0.000162,-0.000437,0.002037,0.999998,0.000322,-0.000874,0.004073
0.620497,0.005525,0.006689,0.007028,0.000167,-0.000443,0.002033,0.999998,0.000332,-0.000887,0.004066
0.620507,0.005494,0.006682,0.007044,0.000168,-0.000440,0.002028,0.999998,0.000335,-0.000881,0.004057
0.621969,0.005461,0.006673,0.007060,0.000161,-0.000436,0.002023,0.999998,0.000320,-0.000873,0.004045
0.624109,0.005437,0.006666,0.007071,0.000156,-0.000438,0.002015,0.999998,0.000309,-0.000877,0.004031
0.671095,0.005406,0.006659,0.007084,0.000155,-0.000444,0.002006,0.999998,0.000309,-0.000888,0.004012
0.671306,0.005377,0.006653,0.007095,0.000156,-0.000446,0.002003,0.999998,0.000311,-0.000893,0.004005
0.671408,0.005345,0.006646,0.007108,0.000158,-0.000445,0.002005,0.999998,0.000315,-0.000891,0.004009
0.673987,0.005323,0.006641,0.007118,0.000160,-0.000443,0.002005,0.999998,0.000318,-0.000887,0.004011
0.676821,0.005297,0.006636,0.007132,0.000161,-0.000438,0.002004,0.999998,0.000320,-0.000877,0.004008
0.718579,0.005272,0.006632,0.007145,0.000161,-0.000435,0.002006,0.999998,0.000321,-0.000872,0.004011
0.718589,0.005242,0.006694,0.007168,0.000149,-0.000441,0.002006,0.999998,0.000296,-0.000882,0.004011
