t,x,y,z,qx,qy,qz,qw,roll_rad,pitch_rad,yaw_rad
0.000001,0.005978,0.006677,0.006908,0.000286,-0.000372,0.002063,0.999998,0.000571,-0.000746,0.004125
0.000035,0.005987,0.006678,0.006906,0.000282,-0.000367,0.002064,0.999998,0.000562,-0.000735,0.004127
0.000052,0.005998,0.006678,0.006901,0.000273,-0.000369,0.002060,0.999998,0.000544,-0.000739,0.004120
0.000069,0.006007,0.006675,0.006888,0.000268,-0.000373,0.002051,0.999998,0.000534,-0.000746,0.004101
0.000075,0.006011,0.006670,0.006882,0.000271,-0.000372,0.002050,0.999998,0.000541,-0.000745,0.004099
0.000082,0.006013,0.006665,0.006876,0.000276,-0.000366,0.002051,0.999998,0.000551,-0.000734,0.004103
0.000090,0.005803,0.006690,0.007463,0.000285,-0.000368,0.002030,0.999998,0.000569,-0.000737,0.004060
0.000136,0.005794,0.006683,0.007475,0.000279,-0.000371,0.002032,0.999998,0.000557,-0.000743,0.004063
0.000143,0.005783,0.006674,0.007491,0.000274,-0.000370,0.002032,0.999998,0.000547,-0.000741,0.004063
0.000147,0.005774,0.006665,0.007504,0.000274,-0.000363,0.002030,0.999998,0.000547,-0.000727,0.004060
0.000186,0.005761,0.006655,0.007521,0.000275,-0.000355,0.002026,0.999998,0.000548,-0.000711,0.004053
0.004263,0.005754,0.006739,0.007535,0.000257,-0.000358,0.002020,0.999998,0.000513,-0.000717,0.004040
0.011666,0.005739,0.006734,0.007545,0.000250,-0.000364,0.002019,0.999998,0.000498,-0.000728,0.004038
0.019121,0.005729,0.006731,0.007550,0.000251,-0.000359,0.002019,0.999998,0.000501,-0.000719,0.004039
0.044760,0.005721,0.006726,0.007552,0.000252,-0.000352,0.002019,0.999998,0.000503,-0.000705,0.004038
0.044771,0.005715,0.006723,0.007555,0.000249,-0.000354,0.002017,0.999998,0.000497,-0.000709,0.004034
0.060998,0.005706,0.006720,0.007559,0.000248,-0.000359,0.002015,0.999998,0.000494,-0.000719,0.004029
0.072544,0.005685,0.006713,0.007563,0.000243,-0.000360,0.002005,0.999998,0.000484,-0.000720,0.004010
0.077823,0.005671,0.006709,0.007560,0.000241,-0.000358,0.002004,0.999998,0.000480,-0.000717,0.004008
0.099335,0.005657,0.006705,0.007559,0.000244,-0.000362,0.002004,0.999998,0.000486,-0.000725,0.004009
0.099436,0.005637,0.006702,0.007556,0.000242,-0.000368,0.002001,0.999998,0.000483,-0.000737,0.004002
0.116132,0.005622,0.006698,0.007553,0.000238,-0.000366,0.002005,0.999998,0.000474,-0.000734,0.004009
0.132133,0.005592,0.006685,0.007547,0.000230,-0.000366,0.002013,0.999998,0.000459,-0.000732,0.004027
0.134362,0.005579,0.006679,0.007544,0.000232,-0.000370,0.002015,0.999998,0.000462,-0.000741,0.004031
0.168621,0.005857,0.006704,0.007137,0.000211,-0.000366,0.002059,0.999998,0.000421,-0.000732,0.004118
0.170451,0.005862,0.006699,0.007099,0.000205,-0.000373,0.002059,0.999998,0.000409,-0.000746,0.004118
0.216950,0.005848,0.006729,0.007034,0.000186,-0.000380,0.002066,0.999998,0.000370,-0.000761,0.004131
0.221197,0.005849,0.006715,0.006994,0.000183,-0.000382,0.002067,0.999998,0.000363,-0.000765,0.004134
0.242608,0.005848,0.006705,0.006972,0.000181,-0.000389,0.002059,0.999998,0.000361,-0.000779,0.004118
0.242657,0.005846,0.006696,0.006954,0.000182,-0.000388,0.002051,0.999998,0.000362,-0.000778,0.004101
0.280497,0.005842,0.006681,0.006914,0.000179,-0.000390,0.002056,0.999998,0.000356,-0.000780,0.004111
0.280648,0.005836,0.006672,0.006895,0.000171,-0.000398,0.002059,0.999998,0.000339,-0.000797,0.004118
0.281154,0.005829,0.006662,0.006883,0.000163,-0.000402,0.002055,0.999998,0.000324,-0.000804,0.004109
0.290554,0.005824,0.006650,0.006870,0.000159,-0.000401,0.002052,0.999998,0.000317,-0.000803,0.004104
0.328971,0.005794,0.006647,0.006485,0.000149,-0.000408,0.002061,0.999998,0.000296,-0.000816,0.004122
