t,x,y,z,qx,qy,qz,qw,roll_rad,pitch_rad,yaw_rad
0.191999,-0.718447,0.000201,0.631791,0.003356,0.005194,0.956042,-0.293165,0.007963,-0.009463,-2.546548
0.192377,-0.721044,-0.001442,0.631810,0.002982,0.005313,0.956094,-0.292996,0.008414,-0.008815,-2.546900
0.232356,-0.722113,-0.002139,0.631840,0.002898,0.005392,0.956083,-0.293031,0.008613,-0.008703,-2.546829
0.577260,-0.723362,-0.002983,0.631879,0.002942,0.005477,0.956060,-0.293104,0.008749,-0.008836,-2.546676
0.578070,-0.724339,-0.003660,0.631910,0.003031,0.005516,0.956039,-0.293171,0.008770,-0.009029,-2.546536
0.578089,-0.725492,-0.004492,0.631943,0.003118,0.005524,0.956018,-0.293240,0.008734,-0.009201,-2.546393
0.592942,-0.726413,-0.005175,0.631956,0.003147,0.005503,0.956010,-0.293265,0.008676,-0.009245,-2.546341
0.595781,-0.727520,-0.006008,0.631949,0.003181,0.005460,0.956012,-0.293261,0.008576,-0.009284,-2.546348
0.596471,-0.728412,-0.006699,0.631917,0.003244,0.005433,0.956016,-0.293246,0.008485,-0.009389,-2.546380
0.621968,-0.727958,-0.006817,0.637016,0.003298,0.005463,0.955945,-0.293477,0.008510,-0.009513,-2.545896
0.622309,-0.729780,-0.008240,0.636806,0.003441,0.005350,0.955982,-0.293355,0.008211,-0.009718,-2.546150
0.623940,-0.730871,-0.009057,0.636668,0.003480,0.005262,0.956008,-0.293272,0.008021,-0.009740,-2.546325
0.623955,-0.731785,-0.009719,0.636567,0.003499,0.005192,0.956034,-0.293189,0.007876,-0.009734,-2.546497
0.625350,-0.732937,-0.010512,0.636464,0.003480,0.005137,0.956069,-0.293076,0.007782,-0.009665,-2.546733
0.626224,-0.733905,-0.011141,0.636396,0.003433,0.005155,0.956093,-0.292998,0.007845,-0.009585,-2.546897
0.648863,-0.735199,-0.011137,0.647327,0.003454,0.005414,0.956087,-0.293013,0.008329,-0.009779,-2.546867
