t,x,y,z,qx,qy,qz,qw,roll_rad,pitch_rad,yaw_rad
0.000023,-0.662401,0.029946,0.732468,-0.000763,-0.005233,-0.953019,0.302865,0.009512,-0.004625,-2.526211
0.000030,-0.664059,0.028946,0.732496,-0.000780,-0.005261,-0.953086,0.302653,0.009556,-0.004670,-2.526655
0.000042,-0.665418,0.028097,0.732492,-0.000904,-0.005293,-0.953137,0.302490,0.009543,-0.004925,-2.526998
0.000052,-0.668634,0.026018,0.732400,-0.001223,-0.005317,-0.953241,0.302162,0.009398,-0.005546,-2.527690
0.000062,-0.670047,0.025097,0.732322,-0.001255,-0.005275,-0.953280,0.302040,0.009299,-0.005579,-2.527946
0.000067,-0.671801,0.023953,0.732206,-0.001245,-0.005204,-0.953325,0.301900,0.009171,-0.005516,-2.528240
0.000075,-0.673254,0.022999,0.732096,-0.001274,-0.005153,-0.953353,0.301810,0.009057,-0.005539,-2.528428
0.000084,-0.675050,0.021825,0.731954,-0.001377,-0.005115,-0.953372,0.301752,0.008921,-0.005712,-2.528549
0.000093,-0.676530,0.020858,0.731834,-0.001507,-0.005120,-0.953376,0.301739,0.008853,-0.005963,-2.528578
0.000105,-0.678335,0.019674,0.731688,-0.001697,-0.005164,-0.953371,0.301751,0.008823,-0.006352,-2.528553
0.000118,-0.679810,0.018708,0.731579,-0.001869,-0.005213,-0.953363,0.301776,0.008812,-0.006709,-2.528502
0.000124,-0.681551,0.016962,0.730891,-0.002041,-0.005163,-0.953359,0.301789,0.008612,-0.007008,-2.528476
0.000134,-0.684655,0.014854,0.730802,-0.002116,-0.005174,-0.953361,0.301780,0.008588,-0.007158,-2.528495
0.000140,-0.686435,0.013627,0.730794,-0.002060,-0.005186,-0.953386,0.301701,0.008646,-0.007058,-2.528661
0.000146,-0.687860,0.012624,0.730800,-0.001961,-0.005205,-0.953427,0.301573,0.008743,-0.006879,-2.528930
0.000154,-0.689575,0.011395,0.730786,-0.001821,-0.005192,-0.953497,0.301352,0.008805,-0.006602,-2.529392
0.000167,-0.692484,0.009219,0.730660,-0.001834,-0.005235,-0.953624,0.300949,0.008880,-0.006649,-2.530238
0.000187,-0.694159,0.007952,0.730541,-0.002017,-0.005290,-0.953684,0.300758,0.008876,-0.007030,-2.530639
0.000209,-0.695530,0.006919,0.730417,-0.002161,-0.005300,-0.953717,0.300651,0.008810,-0.007309,-2.530863
0.000216,-0.697202,0.005663,0.730240,-0.002251,-0.005317,-0.953743,0.300569,0.008790,-0.007491,-2.531037
0.000219,-0.698580,0.004641,0.730073,-0.002275,-0.005324,-0.953756,0.300525,0.008789,-0.007540,-2.531129
0.000235,-0.700277,0.003386,0.729866,-0.002302,-0.005329,-0.953763,0.300504,0.008782,-0.007593,-2.531173
0.000245,-0.701675,0.002344,0.729695,-0.002353,-0.005351,-0.953756,0.300526,0.008794,-0.007704,-2.531127
0.000249,-0.703387,0.001052,0.729499,-0.002459,-0.005400,-0.953734,0.300593,0.008822,-0.007937,-2.530988
0.000253,-0.704781,-0.000018,0.729367,-0.002563,-0.005443,-0.953718,0.300641,0.008842,-0.008162,-2.530888
0.000261,-0.708017,-0.002498,0.729199,-0.002711,-0.005566,-0.953730,0.300600,0.008987,-0.008518,-2.530976
0.000268,-0.709402,-0.003527,0.729189,-0.002709,-0.005622,-0.953757,0.300514,0.009097,-0.008547,-2.531157
0.000277,-0.711100,-0.004754,0.729204,-0.002638,-0.005662,-0.953802,0.300372,0.009217,-0.008435,-2.531455
0.000286,-0.712499,-0.005741,0.729216,-0.002543,-0.005666,-0.953842,0.300244,0.009283,-0.008253,-2.531722
0.000301,-0.714205,-0.006927,0.729219,-0.002435,-0.005648,-0.953887,0.300102,0.009315,-0.008037,-2.532018
0.000305,-0.715585,-0.007894,0.729208,-0.002392,-0.005638,-0.953917,0.300007,0.009322,-0.007947,-2.532217
0.000312,-0.717269,-0.009085,0.729180,-0.002431,-0.005615,-0.953947,0.299914,0.009256,-0.008007,-2.532413
0.000322,-0.718659,-0.010058,0.729139,-0.002511,-0.005586,-0.953967,0.299848,0.009151,-0.008141,-2.532552
0.000331,-0.720358,-0.011250,0.729070,-0.002554,-0.005564,-0.953988,0.299782,0.009085,-0.008209,-2.532691
0.000336,-0.723302,-0.013349,0.728900,-0.002529,-0.005492,-0.954007,0.299724,0.008962,-0.008118,-2.532811
0.000341,-0.725014,-0.014582,0.728778,-0.002519,-0.005451,-0.954006,0.299726,0.008891,-0.008074,-2.532806
0.000347,-0.695967,0.011362,0.622267,-0.003605,-0.005423,-0.954924,0.296780,0.008218,-0.010105,-2.538983
0.000353,-0.685353,0.019253,0.691305,-0.003584,-0.005403,-0.955420,0.295179,0.008208,-0.010038,-2.542336
0.000360,-0.686451,0.018397,0.691226,-0.003445,-0.005479,-0.955453,0.295073,0.008437,-0.009817,-2.542556
0.000367,-0.687644,0.018324,0.691316,-0.003390,-0.005662,-0.955396,0.295253,0.008818,-0.009822,-2.542182
0.000372,-0.689624,0.016742,0.691421,-0.003530,-0.005660,-0.955293,0.295585,0.008727,-0.010091,-2.541488
0.000378,-0.690401,0.016112,0.691498,-0.003508,-0.005600,-0.955249,0.295729,0.008625,-0.010015,-2.541185
0.000381,-0.689471,0.017647,0.641613,-0.003785,-0.005728,-0.955436,0.295119,0.008711,-0.010614,-2.542463
0.000387,-0.690182,0.017113,0.641713,-0.003874,-0.005763,-0.955424,0.295157,0.008727,-0.010805,-2.542386
0.000396,-0.691067,0.016482,0.641789,-0.004168,-0.005839,-0.955407,0.295205,0.008697,-0.011412,-2.542286
0.000403,-0.691780,0.015986,0.641828,-0.004354,-0.005891,-0.955393,0.295247,0.008686,-0.011798,-2.542200
0.000411,-0.692698,0.015376,0.641838,-0.004359,-0.005938,-0.955384,0.295276,0.008772,-0.011835,-2.542139
0.000416,-0.693498,0.014870,0.641824,-0.004318,-0.005963,-0.955377,0.295297,0.008843,-0.011772,-2.542096
0.001064,-0.696021,0.015719,0.619270,-0.004012,-0.005738,-0.955545,0.294764,0.008601,-0.011050,-2.543209
0.001223,-0.696983,0.015170,0.619273,-0.003977,-0.005742,-0.955542,0.294773,0.008629,-0.010986,-2.543190
0.001387,-0.698200,0.014473,0.619274,-0.003895,-0.005712,-0.955553,0.294740,0.008620,-0.010811,-2.543258
0.001459,-0.699223,0.013893,0.619282,-0.003844,-0.005674,-0.955579,0.294656,0.008578,-0.010691,-2.543432
0.001979,-0.700492,0.013170,0.619310,-0.003832,-0.005666,-0.955629,0.294494,0.008573,-0.010662,-2.543772
0.009562,-0.701524,0.012572,0.619362,-0.003818,-0.005675,-0.955677,0.294337,0.008600,-0.010639,-2.544101
