t,x,y,z,qx,qy,qz,qw,roll_rad,pitch_rad,yaw_rad
0.000080,183.275744,17.107141,143.721350,0.003197,-0.000381,0.292741,0.956186,0.005891,-0.002601,0.594181
0.000096,183.313595,17.124657,143.747068,0.003166,-0.000297,0.292709,0.956196,0.005880,-0.002422,0.594114
0.000106,183.344601,17.139011,143.768116,0.003127,-0.000246,0.292627,0.956222,0.005836,-0.002300,0.593942
0.000126,183.382520,17.156580,143.793860,0.003118,-0.000232,0.292466,0.956271,0.005827,-0.002268,0.593605
0.009437,183.413553,17.170968,143.814951,0.003126,-0.000218,0.292309,0.956319,0.005851,-0.002244,0.593278
0.031849,183.486003,17.204523,143.864248,0.003160,-0.000114,0.292015,0.956408,0.005977,-0.002064,0.592663
0.035171,183.517057,17.218901,143.885393,0.003175,-0.000098,0.291926,0.956436,0.006016,-0.002040,0.592476
0.046975,183.681858,17.289417,144.003260,0.003305,0.000008,0.291860,0.956455,0.006328,-0.001913,0.592339
0.057149,183.713150,17.303688,144.024397,0.003269,-0.000064,0.291760,0.956486,0.006216,-0.002030,0.592129
0.064885,183.751399,17.321126,144.050207,0.003205,-0.000124,0.291675,0.956512,0.006059,-0.002106,0.591952
0.070847,183.782704,17.335390,144.071311,0.003174,-0.000156,0.291668,0.956514,0.005981,-0.002149,0.591936
0.089783,183.820998,17.352830,144.097083,0.003158,-0.000184,0.291737,0.956493,0.005933,-0.002194,0.592082
0.096067,183.852366,17.367097,144.118145,0.003152,-0.000173,0.291842,0.956461,0.005929,-0.002170,0.592300
0.109169,183.914527,17.411254,144.144912,0.003289,0.000019,0.292019,0.956407,0.006302,-0.001884,0.592671
0.115883,183.946140,17.425379,144.165889,0.003282,0.000127,0.292078,0.956389,0.006352,-0.001675,0.592797
0.123466,183.984832,17.442660,144.191515,0.003261,0.000256,0.292064,0.956393,0.006387,-0.001414,0.592767
0.133826,184.016531,17.456816,144.212488,0.003235,0.000371,0.291976,0.956420,0.006405,-0.001179,0.592583
0.145472,184.055309,17.474133,144.238148,0.003220,0.000546,0.291804,0.956473,0.006479,-0.000835,0.592224
0.162965,184.087054,17.488309,144.259168,0.003234,0.000707,0.291642,0.956522,0.006600,-0.000534,0.591887
0.178302,184.161110,17.521405,144.308290,0.003352,0.001085,0.291474,0.956572,0.007046,0.000121,0.591539
0.183385,184.192819,17.535594,144.329368,0.003431,0.001169,0.291509,0.956561,0.007245,0.000237,0.591613
0.576562,184.231530,17.552938,144.355132,0.003515,0.001128,0.291584,0.956538,0.007382,0.000107,0.591769
0.576829,184.263167,17.567129,144.376211,0.003553,0.001041,0.291652,0.956517,0.007404,-0.000082,0.591911
0.576970,184.301805,17.584485,144.401967,0.003560,0.000955,0.291723,0.956496,0.007368,-0.000250,0.592058
0.591861,184.333403,17.598698,144.423027,0.003538,0.000928,0.291749,0.956488,0.007310,-0.000290,0.592112
0.592050,184.372015,17.616080,144.448742,0.003495,0.000896,0.291746,0.956489,0.007209,-0.000326,0.592107
0.592942,184.403603,17.630319,144.469756,0.003466,0.000834,0.291733,0.956493,0.007118,-0.000428,0.592078
0.593647,184.442215,17.647744,144.495405,0.003425,0.000729,0.291687,0.956507,0.006978,-0.000604,0.591982
0.609312,184.508986,17.677868,144.539650,0.003310,0.000589,0.291568,0.956544,0.006675,-0.000803,0.591733
0.620949,184.547666,17.695320,144.565239,0.003221,0.000552,0.291486,0.956569,0.006483,-0.000821,0.591561
0.620965,184.579355,17.709601,144.586185,0.003149,0.000535,0.291405,0.956594,0.006336,-0.000812,0.591391
0.620988,184.618130,17.727049,144.611807,0.003092,0.000555,0.291293,0.956629,0.006239,-0.000739,0.591157
0.621066,184.649887,17.741316,144.632786,0.003109,0.000603,0.291216,0.956652,0.006300,-0.000656,0.590996
0.621203,184.688726,17.758748,144.658444,0.003225,0.000661,0.291172,0.956665,0.006556,-0.000614,0.590905
0.621249,184.720507,17.773007,144.679445,0.003365,0.000703,0.291210,0.956653,0.006848,-0.000614,0.590984
0.621361,184.759354,17.790435,144.705113,0.003540,0.000722,0.291375,0.956602,0.007194,-0.000681,0.591330
0.636748,184.792784,17.809428,144.732420,0.003708,0.000695,0.291528,0.956555,0.007499,-0.000832,0.591649
0.636763,184.867064,17.842682,144.781394,0.003842,0.000477,0.291862,0.956453,0.007628,-0.001331,0.592345
0.636773,184.898914,17.856958,144.802381,0.003790,0.000421,0.291888,0.956445,0.007497,-0.001407,0.592400
0.636782,184.937846,17.874439,144.828025,0.003702,0.000473,0.291821,0.956466,0.007358,-0.001256,0.592261
0.636842,184.969700,17.888777,144.848992,0.003642,0.000579,0.291701,0.956503,0.007305,-0.001017,0.592009
0.658966,185.014323,17.922118,144.861148,0.003622,0.000750,0.291506,0.956562,0.007367,-0.000677,0.591604
0.659026,185.046243,17.936486,144.882045,0.003580,0.000828,0.291325,0.956617,0.007331,-0.000501,0.591225
0.661186,185.085271,17.954043,144.907571,0.003513,0.000877,0.291144,0.956672,0.007233,-0.000369,0.590848
0.661198,185.117215,17.968398,144.928460,0.003458,0.000859,0.291058,0.956699,0.007117,-0.000369,0.590668
0.661376,185.156276,17.985929,144.954001,0.003396,0.000795,0.291013,0.956713,0.006962,-0.000455,0.590574
0.661385,185.223807,18.016195,144.998147,0.003308,0.000818,0.290938,0.956736,0.006806,-0.000359,0.590416
0.674124,185.299290,18.093207,145.033119,0.003415,0.001027,0.290918,0.956741,0.007132,-0.000021,0.590375
0.674220,185.331483,18.107468,145.054055,0.003446,0.001080,0.290848,0.956762,0.007223,0.000063,0.590231
0.674302,185.370822,18.124914,145.079661,0.003506,0.001139,0.290772,0.956785,0.007372,0.000140,0.590072
0.674381,185.403003,18.139207,145.100613,0.003543,0.001179,0.290704,0.956806,0.007466,0.000196,0.589931
0.674475,185.442328,18.156702,145.126203,0.003559,0.001185,0.290598,0.956838,0.007500,0.000200,0.589709
0.674520,185.474497,18.171040,145.147124,0.003573,0.001126,0.290502,0.956867,0.007492,0.000078,0.589508
0.674643,185.513813,18.188593,145.172688,0.003585,0.001010,0.290384,0.956903,0.007448,-0.000150,0.589260
0.674703,185.545973,18.202967,145.193605,0.003576,0.000935,0.290282,0.956934,0.007386,-0.000286,0.589046
0.674792,185.621007,18.236520,145.242407,0.003539,0.000843,0.290060,0.957002,0.007263,-0.000439,0.588581
0.674884,185.653172,18.250903,145.263312,0.003521,0.000840,0.289976,0.957027,0.007228,-0.000434,0.588407
0.674949,185.692500,18.268482,145.288848,0.003498,0.000867,0.289876,0.957057,0.007198,-0.000367,0.588197
0.675009,185.724689,18.282857,145.309728,0.003499,0.000886,0.289808,0.957078,0.007211,-0.000331,0.588054
0.690976,185.764044,18.300407,145.335258,0.003524,0.000903,0.289742,0.957098,0.007270,-0.000313,0.587918
0.691063,185.832128,18.330659,145.379402,0.003604,0.001031,0.289637,0.957129,0.007497,-0.000115,0.587698
0.691129,185.871616,18.348153,145.404991,0.003662,0.001175,0.289585,0.957145,0.007691,0.000128,0.587592
0.691347,185.905312,18.363070,145.426802,0.003710,0.001324,0.289550,0.957155,0.007870,0.000386,0.587520
0.691357,185.980831,18.396577,145.475649,0.003813,0.001531,0.289403,0.957199,0.008186,0.000724,0.587214
0.693407,186.013194,18.410986,145.496581,0.003853,0.001530,0.289309,0.957227,0.008262,0.000699,0.587017
0.694418,186.052739,18.428637,145.522157,0.003904,0.001487,0.289187,0.957263,0.008336,0.000589,0.586763
0.709413,186.085086,18.443106,145.543073,0.003928,0.001447,0.289106,0.957288,0.008356,0.000500,0.586592
0.725369,186.160756,18.480068,145.596349,0.003923,0.001426,0.289011,0.957317,0.008336,0.000463,0.586395
0.732072,186.193114,18.494583,145.617245,0.003900,0.001423,0.288986,0.957324,0.008290,0.000471,0.586342
0.744842,186.232680,18.512344,145.642774,0.003871,0.001418,0.288945,0.957337,0.008232,0.000478,0.586256
0.760294,186.265069,18.526883,145.663656,0.003839,0.001462,0.288904,0.957349,0.008195,0.000582,0.586172
0.768052,186.304673,18.544659,145.689179,0.003766,0.001609,0.288854,0.957364,0.008140,0.000906,0.586068
0.782119,186.341660,18.603754,145.731081,0.003827,0.001842,0.288856,0.957363,0.008392,0.001315,0.586074
0.782266,186.381424,18.621418,145.756632,0.003788,0.002005,0.288794,0.957382,0.008411,0.001652,0.585947
0.793036,186.413979,18.635863,145.777560,0.003763,0.002118,0.288706,0.957408,0.008429,0.001882,0.585764
0.804883,186.453801,18.653500,145.803161,0.003727,0.002274,0.288541,0.957458,0.008449,0.002204,0.585420
0.817882,186.486402,18.667918,145.824111,0.003690,0.002422,0.288384,0.957505,0.008463,0.002510,0.585095
0.825339,186.526263,18.685553,145.849683,0.003656,0.002602,0.288216,0.957555,0.008501,0.002877,0.584746
0.833750,186.558890,18.700009,145.870554,0.003514,0.002714,0.288035,0.957610,0.008293,0.003174,0.584367
0.848465,186.598785,18.717671,145.896038,0.003118,0.002780,0.287707,0.957709,0.007572,0.003531,0.583682
0.858329,186.631388,18.732078,145.916922,0.002929,0.002825,0.287474,0.957780,0.007236,0.003728,0.583196
0.866138,186.671172,18.749675,145.942497,0.003064,0.002839,0.287350,0.957817,0.007502,0.003676,0.582937
0.872889,186.703712,18.764078,145.963454,0.003182,0.002652,0.287341,0.957819,0.007620,0.003252,0.582916
0.884897,186.743468,18.781683,145.989088,0.003234,0.002269,0.287431,0.957793,0.007499,0.002487,0.583102
0.901550,186.775961,18.796103,146.010044,0.003335,0.002084,0.287569,0.957752,0.007587,0.002073,0.583387
0.914907,186.815672,18.813758,146.035633,0.003406,0.002039,0.287667,0.957722,0.007697,0.001945,0.583592
0.917668,186.848185,18.828199,146.056588,0.003358,0.002050,0.287682,0.957718,0.007612,0.001994,0.583624
0.923615,186.887940,18.845851,146.082215,0.003311,0.002098,0.287705,0.957711,0.007549,0.002114,0.583672
0.935512,186.920472,18.860307,146.103185,0.003289,0.002177,0.287726,0.957705,0.007552,0.002277,0.583717
0.945597,186.960249,18.877993,146.128823,0.003198,0.002300,0.287662,0.957724,0.007449,0.002565,0.583584
0.969341,186.992819,18.892472,146.149802,0.003122,0.002373,0.287497,0.957774,0.007345,0.002750,0.583240
0.978457,187.068920,18.926240,146.198709,0.003000,0.002449,0.287064,0.957904,0.007154,0.002969,0.582335
0.994543,187.137887,18.956767,146.242894,0.002866,0.002628,0.286788,0.957986,0.006999,0.003391,0.581762
1.389355,187.177863,18.974453,146.268446,0.002788,0.002763,0.286705,0.958011,0.006926,0.003696,0.581589
1.389603,187.210587,18.988941,146.289349,0.002741,0.002779,0.286696,0.958014,0.006845,0.003754,0.581569
1.392568,187.250584,19.006679,146.314904,0.002729,0.002684,0.286739,0.958001,0.006768,0.003578,0.581659
1.394289,187.283297,19.021213,146.335820,0.002741,0.002569,0.286805,0.957982,0.006725,0.003350,0.581796
1.409395,187.323265,19.038997,146.361401,0.002737,0.002461,0.286886,0.957958,0.006655,0.003145,0.581963
1.409482,187.355939,19.053551,146.382336,0.002731,0.002429,0.286952,0.957938,0.006627,0.003086,0.582101
1.409577,187.432141,19.087504,146.431192,0.002843,0.002343,0.287120,0.957887,0.006792,0.002855,0.582452
1.420340,187.618228,19.041753,146.060142,0.002182,0.002340,0.287085,0.957900,0.005524,0.003230,0.582376
1.420390,187.658243,19.060520,146.085513,0.002203,0.002346,0.287109,0.957893,0.005567,0.003230,0.582426
1.420476,187.690996,19.075873,146.106292,0.002190,0.002381,0.287111,0.957892,0.005564,0.003303,0.582431
1.420538,187.731042,19.094643,146.131714,0.002171,0.002426,0.287085,0.957899,0.005552,0.003401,0.582378
1.420629,187.763816,19.110017,146.152521,0.002146,0.002477,0.287007,0.957923,0.005532,0.003514,0.582214
1.428322,187.803875,19.128839,146.177937,0.002092,0.002603,0.286824,0.957978,0.005502,0.003787,0.581833
1.428334,187.876675,19.163193,146.224142,0.001918,0.002813,0.286399,0.958104,0.005286,0.004292,0.580947
1.428337,187.945815,19.195969,146.268127,0.001854,0.002836,0.286031,0.958214,0.005175,0.004375,0.580180
1.428511,187.985883,19.214992,146.293600,0.001908,0.002808,0.285939,0.958242,0.005262,0.004289,0.579988
1.444587,188.018705,19.230572,146.314426,0.001905,0.002741,0.285952,0.958238,0.005219,0.004165,0.580014
1.444659,188.058832,19.249636,146.339852,0.001971,0.002615,0.286037,0.958213,0.005274,0.003884,0.580191
1.459272,188.091662,19.265244,146.360654,0.002080,0.002519,0.286130,0.958185,0.005427,0.003636,0.580385
1.459352,188.131836,19.284329,146.386033,0.002187,0.002437,0.286258,0.958147,0.005586,0.003418,0.580651
1.460022,188.164741,19.299965,146.406785,0.002274,0.002386,0.286369,0.958114,0.005724,0.003270,0.580882
1.460153,188.204994,19.319103,146.432148,0.002381,0.002399,0.286488,0.958078,0.005937,0.003232,0.581131
1.460270,188.237944,19.334778,146.452920,0.002425,0.002490,0.286561,0.958056,0.006073,0.003382,0.581284
1.460395,188.314841,19.371389,146.501490,0.002389,0.002835,0.286574,0.958051,0.006203,0.004062,0.581314
1.476711,188.347801,19.387093,146.522336,0.002346,0.002988,0.286509,0.958070,0.006208,0.004381,0.581180
1.476721,188.534577,19.476286,146.640164,0.001992,0.003017,0.285959,0.958235,0.005544,0.004643,0.580032
1.476727,188.567517,19.492050,146.660952,0.002003,0.002813,0.285971,0.958232,0.005447,0.004245,0.580055
1.492667,189.339409,19.679024,146.513335,0.001041,0.002955,0.285949,0.958240,0.003685,0.005068,0.580005
1.492735,189.410443,19.714960,146.556983,0.001122,0.002567,0.286107,0.958194,0.003618,0.004277,0.580332
1.536014,189.451562,19.735770,146.582260,0.001198,0.002368,0.286204,0.958165,0.003650,0.003852,0.580536
1.536036,189.485208,19.752794,146.602955,0.001263,0.002246,0.286254,0.958150,0.003707,0.003581,0.580638
1.536045,189.526328,19.773603,146.628268,0.001340,0.002181,0.286252,0.958151,0.003817,0.003411,0.580635
1.536057,189.539429,19.843160,146.665759,0.001526,0.002258,0.286286,0.958140,0.004218,0.003454,0.580706
1.536064,189.618100,19.882731,146.714169,0.001584,0.002420,0.286152,0.958180,0.004421,0.003730,0.580427
1.536075,189.651824,19.899719,146.734926,0.001578,0.002522,0.286013,0.958221,0.004468,0.003930,0.580138
1.536086,189.693047,19.920495,146.760273,0.001559,0.002659,0.285774,0.958292,0.004508,0.004205,0.579641
1.536096,189.764277,19.956389,146.803984,0.001423,0.002843,0.285364,0.958414,0.004350,0.004637,0.578785
1.536117,189.805532,19.977169,146.829262,0.001328,0.002834,0.285157,0.958476,0.004162,0.004676,0.578352
1.536122,189.839293,19.994178,146.849927,0.001293,0.002734,0.285041,0.958511,0.004037,0.004505,0.578110
1.536133,189.880566,20.014968,146.875181,0.001276,0.002560,0.284974,0.958531,0.003906,0.004181,0.577968
1.536143,189.951910,20.050897,146.918778,0.001283,0.002243,0.284984,0.958529,0.003738,0.003569,0.577988
1.536366,189.993256,20.071717,146.943996,0.001321,0.002067,0.285054,0.958508,0.003710,0.003209,0.578134
1.545269,190.027106,20.088762,146.964610,0.001358,0.001921,0.285094,0.958497,0.003699,0.002909,0.578215
1.587908,190.068496,20.109615,146.989802,0.001409,0.001756,0.285094,0.958497,0.003703,0.002562,0.578215
1.587922,190.049311,20.132333,147.004187,0.001656,0.001513,0.285069,0.958504,0.004037,0.001956,0.578163
1.587936,190.090702,20.153123,147.029399,0.001770,0.001427,0.284999,0.958525,0.004207,0.001727,0.578016
1.592736,190.124587,20.170145,147.050054,0.001846,0.001415,0.284915,0.958550,0.004344,0.001661,0.577841
1.605385,190.166028,20.190958,147.075321,0.001891,0.001476,0.284779,0.958590,0.004466,0.001752,0.577557
1.647923,190.199949,20.208002,147.096002,0.001874,0.001569,0.284627,0.958635,0.004487,0.001942,0.577241
1.647941,190.241411,20.228860,147.121271,0.001816,0.001704,0.284388,0.958706,0.004451,0.002235,0.576742
1.647975,190.275331,20.245948,147.141930,0.001747,0.001812,0.284153,0.958776,0.004379,0.002481,0.576254
1.651381,190.153015,20.288204,147.054106,0.001861,0.001924,0.283938,0.958839,0.004662,0.002633,0.575805
1.660710,190.186940,20.305139,147.074618,0.001802,0.001907,0.283731,0.958900,0.004538,0.002635,0.575375
1.703902,190.228402,20.325846,147.099679,0.001762,0.001817,0.283563,0.958950,0.004410,0.002486,0.575023
1.703924,190.262328,20.342785,147.120174,0.001756,0.001709,0.283521,0.958963,0.004338,0.002282,0.574935
1.703931,190.303809,20.363480,147.145205,0.001771,0.001570,0.283576,0.958947,0.004286,0.002007,0.575048
1.703938,190.337769,20.380407,147.165669,0.001794,0.001465,0.283670,0.958919,0.004272,0.001793,0.575244
1.710500,190.403686,20.433331,147.220152,0.001880,0.001381,0.283809,0.958878,0.004390,0.001580,0.575533
1.716972,190.437759,20.450261,147.240597,0.001937,0.001305,0.283874,0.958859,0.004456,0.001402,0.575669
1.760031,190.479435,20.470970,147.265580,0.002026,0.001262,0.283896,0.958852,0.004602,0.001270,0.575714
1.760042,190.513554,20.487932,147.286025,0.002122,0.001266,0.283872,0.958859,0.004788,0.001223,0.575665
1.760095,190.555281,20.508685,147.311030,0.002260,0.001301,0.283820,0.958874,0.005072,0.001212,0.575556
1.763962,190.589445,20.525682,147.331509,0.002370,0.001343,0.283771,0.958888,0.005307,0.001231,0.575455
1.778087,190.669188,20.565387,147.379348,0.002499,0.001445,0.283631,0.958929,0.005613,0.001354,0.575163
1.823906,190.741290,20.601366,147.422675,0.002441,0.001452,0.283436,0.958987,0.005504,0.001401,0.574756
1.823915,190.783023,20.622244,147.447745,0.002265,0.001434,0.283231,0.959048,0.005157,0.001467,0.574330
2.194928,190.817197,20.639352,147.468211,0.001961,0.001435,0.282958,0.959129,0.004573,0.001642,0.573759
2.196684,190.897078,20.679293,147.515884,0.001589,0.001599,0.282301,0.959323,0.003953,0.002171,0.572388
2.198170,190.931375,20.696420,147.536312,0.001634,0.001617,0.282109,0.959380,0.004048,0.002181,0.571990
2.198191,190.973350,20.717367,147.561275,0.001648,0.001442,0.282065,0.959393,0.003976,0.001838,0.571896
2.198198,191.045914,20.753583,147.604323,0.001750,0.001201,0.282305,0.959322,0.004036,0.001315,0.572396
2.213129,191.180595,20.824335,147.292740,0.001598,0.001391,0.282358,0.959307,0.003852,0.001766,0.572507
2.225864,191.201341,20.788830,147.151650,0.001526,0.001423,0.282377,0.959301,0.003731,0.001867,0.572546
2.225939,191.243728,20.810446,147.176157,0.001689,0.001496,0.282441,0.959282,0.004085,0.001916,0.572680
2.226046,191.278405,20.828148,147.196224,0.001833,0.001591,0.282484,0.959269,0.004415,0.002017,0.572772
2.226135,191.320794,20.849771,147.220763,0.001919,0.001762,0.282473,0.959272,0.004678,0.002297,0.572749
2.226225,191.355492,20.867446,147.240844,0.001937,0.001906,0.282423,0.959286,0.004793,0.002562,0.572646
2.226304,191.397929,20.889054,147.265384,0.001921,0.002040,0.282316,0.959317,0.004838,0.002829,0.572424
2.226393,191.432673,20.906753,147.285462,0.001845,0.002105,0.282187,0.959355,0.004728,0.002997,0.572155
2.226502,191.513763,20.948117,147.332311,0.001511,0.002281,0.281841,0.959457,0.004185,0.003525,0.571435
2.226581,191.548527,20.965881,147.352388,0.001338,0.002379,0.281684,0.959503,0.003909,0.003812,0.571106
2.226674,191.591024,20.987630,147.376921,0.001168,0.002452,0.281519,0.959552,0.003622,0.004048,0.570763
2.226755,191.625788,21.005446,147.396988,0.001084,0.002444,0.281444,0.959574,0.003456,0.004081,0.570606
2.226833,191.668259,21.027232,147.421509,0.001037,0.002353,0.281452,0.959572,0.003315,0.003932,0.570622
2.226900,191.703002,21.045069,147.441562,0.001039,0.002246,0.281539,0.959547,0.003258,0.003725,0.570803
2.226971,191.745480,21.066890,147.466053,0.001082,0.002126,0.281698,0.959500,0.003275,0.003470,0.571134
